"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.17580899449486,1.22060167946393,0.963302782781083,0.337117932480564
"dep_score_wtd",0.00213020166981236,0.000755171756926617,2.82081745016764,0.00551323222175763
"log(pop_total)",-0.362247120539971,0.114997831641384,-3.15003435603573,0.00201063664517181
